Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
BubbleSort,NearlySorted,100,10000,12684,400,12,412
InsertionSort,NearlySorted,100,10000,900,400,12,412
SelectionSort,NearlySorted,100,10000,20021,400,12,412
MergeSort,NearlySorted,100,10000,23807,400,400,800
QuickSort,NearlySorted,100,10000,1903,400,106,506
HeapSort,NearlySorted,100,10000,10549,400,12,412
BubbleSort,FewUnique,100,10000,40195,400,12,412
InsertionSort,FewUnique,100,10000,7189,400,12,412
SelectionSort,FewUnique,100,10000,16692,400,12,412
MergeSort,FewUnique,100,10000,20149,400,400,800
QuickSort,FewUnique,100,10000,3009,400,106,506
HeapSort,FewUnique,100,10000,6246,400,12,412
BubbleSort,Random,500,100,865474,2000,12,2012
InsertionSort,Random,500,100,150373,2000,12,2012
SelectionSort,Random,500,100,325661,2000,12,2012
MergeSort,Random,500,1000,105721,2000,2000,4000
QuickSort,Random,500,1000,19335,2000,143,2143
HeapSort,Random,500,1000,61629,2000,12,2012
BubbleSort,Sorted,500,100,0,2000,12,2012
InsertionSort,Sorted,500,100,0,2000,12,2012
SelectionSort,Sorted,500,100,330219,2000,12,2012
MergeSort,Sorted,500,1000,92170,2000,2000,4000
QuickSort,Sorted,500,1000,8459,2000,143,2143
HeapSort,Sorted,500,1000,69746,2000,12,2012
BubbleSort,Reverse,500,100,1168185,2000,12,2012
InsertionSort,Reverse,500,100,291070,2000,12,2012
SelectionSort,Reverse,500,100,312445,2000,12,2012
MergeSort,Reverse,500,1000,95566,2000,2000,4000
QuickSort,Reverse,500,1000,8867,2000,143,2143
HeapSort,Reverse,500,1000,57170,2000,12,2012
BubbleSort,NearlySorted,500,100,439808,2000,12,2012
InsertionSort,NearlySorted,500,100,10219,2000,12,2012
SelectionSort,NearlySorted,500,100,320543,2000,12,2012
MergeSort,NearlySorted,500,1000,103362,2000,2000,4000
QuickSort,NearlySorted,500,1000,9543,2000,143,2143
HeapSort,NearlySorted,500,1000,68393,2000,12,2012
BubbleSort,FewUnique,500,100,811403,2000,12,2012
InsertionSort,FewUnique,500,100,135796,2000,12,2012
SelectionSort,FewUnique,500,100,342676,2000,12,2012
MergeSort,FewUnique,500,1000,106194,2000,2000,4000
